NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,69,68.6,66,68.2,74.8,71.5,65.8,57.5,48.7
2,Carlos V,70.7,70.2,67.5,69.8,75.8,72,68.6,62,54.8
3,Plaza del Carmen,62.6,61,59.6,61.5,70.1,64.3,58.8,52.2,46.7
4,Plaza de Espana,66.7,65.8,62.4,65.5,74.2,67.8,63.8,57.1,49
5,Barrio del Pilar,63.9,63.2,56.9,62.3,69.5,66,59.6,47,39
6,Gregorio Maranon,72.1,71.4,67.3,70.9,77.7,74.4,67.9,60.2,51.8
8,Escuelas Aguirre,68.8,68.1,64.8,67.7,74.3,70.8,66,58.5,48.7
10,Cuatro Caminos,67,66,60.5,65.5,73.9,69.3,61.5,49.9,42.7
11,Ramon y Cajal,70,69.2,63.3,68.5,74.8,71.7,67.1,52.8,39.5
12,Plaza Manuel Becerra,65.8,64.7,59.7,64.3,71.5,65.6,61.6,53.7,45.7
13,Vallecas,60,58.3,52.1,58.3,66.3,61.2,54.4,42.9,39.5
14,Glorieta Fdez. Ladreda,66.9,65.9,61.4,65.5,71.7,68.1,63.3,55.4,47.1
16,Arturo Soria,62.8,61.8,57.1,61.5,,,,,
17,Villaverde,58.2,59.6,52,57.3,66.9,60.3,53.3,41.2,35.6
18,Farolillo,58.6,59.8,50.2,57.5,67.8,58.9,50.9,41.3,35.8
19,Alto Extremadura,62.4,61.9,56.7,61.1,69.1,63.9,57.7,47,37
20,Avda de Moratalaz,63.7,62.8,56,62.1,,,,,
24,Casa de Campo,48.8,44.9,42.2,46.8,55.4,49.5,43.5,39.1,36.3
25,Santa Eugenia,68.8,68.1,63.5,67.7,73.1,70.7,66.9,58.9,49.8
26,Embajada,64.8,63.4,59.2,63.4,71.6,67.9,59.2,50.1,42.6
27,Barajas Pueblo,63.2,62.1,56.9,61.7,72.1,65.9,54.3,42.9,36.6
28,Cuatro Vientos,68.8,67.4,61.5,67.2,75.5,71.8,61.8,42.4,37
29,El Pardo,58.6,55.5,50.3,56.6,66,60.7,50.7,36.2,33.4
30,Campo de las Naciones,62.3,60.5,54,60.5,68,64,58.3,44.4,40.4
31,Sanchinarro,64.9,64.7,54.1,63.3,73.6,68.2,55.3,43.7,38.2
47,Mendez alvaro,56.3,58.8,49.3,55.7,66.7,55.6,48.3,40.1,36.3
48,Castellana,63.7,63,59.1,62.5,68.6,65.6,61.3,53.4,44.9
50,Pza de Castilla,67.5,66.9,62.3,66.4,72,68.5,64.3,56.2,48.3
54,Ensanche de Vallecas,62.1,61.9,54.6,60.6,68,64.4,58.8,43.8,39
55,Urbanizacion Embajada II,57.1,55.3,50.7,55.5,64,58.6,50.9,42.7,39.2
86,Tres Olivos,59.8,57.9,50.7,57.9,67.8,61.8,52.1,39.4,35.9
