NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,68.2,67.9,65.3,67.4,73.7,70.5,65,56.6,49.4
2,Carlos V,69.6,69.4,66.2,68.7,75.4,70.7,67.2,60.8,53.7
3,Plaza del Carmen,61.3,61,60.3,61,69.2,63.5,58.3,53.8,49.4
4,Plaza de Espana,66.8,65.1,61.6,65.3,74,68.4,62.9,56.2,48.7
5,Barrio del Pilar,62.7,63.4,55.6,61.5,68.7,64.7,58.7,46.8,39.8
6,Gregorio Maranon,70.3,69.8,66.1,69.2,76.4,72.5,66,59.2,51.4
8,Escuelas Aguirre,68.3,68.2,64.1,67.3,74.2,70.1,65.1,57.8,48.5
10,Cuatro Caminos,65.5,64.9,59.6,64.1,72.5,67.3,59.5,49.3,45.6
11,Ramon y Cajal,68.8,68.4,62.8,67.5,73.6,70.7,65.6,51.9,39.8
12,Plaza Manuel Becerra,65.3,66.1,59.7,64.3,71.7,65.4,61.2,53.6,47.4
13,Vallecas,59.7,58.7,51.5,58,65.9,59.8,53.4,42.1,36.2
14,Glorieta Fdez. Ladreda,65.3,65.4,60.8,64.3,70.5,66.6,62.1,55.2,47.8
16,Arturo Soria,61.4,60.4,55.9,60,66.6,63.1,57.6,42.9,36
17,Villaverde,60.2,62.6,55.8,59.8,68.6,61.8,54.9,42.1,38.2
18,Farolillo,59,60,57.8,58.8,67.7,59.8,52.4,42.8,36.1
19,Alto Extremadura,61.9,62.4,56.5,60.8,69.7,63.4,56.8,46.7,37.2
20,Avda de Moratalaz,62.4,62.2,56,61.1,70.5,63.7,57.4,45.8,37.6
24,Casa de Campo,51.4,50.5,43.3,49.8,59.1,52.5,45,38.5,36
25,Santa Eugenia,65.1,65,60.4,64,68.9,66.6,63.7,56.3,47.8
26,Embajada,62.7,61.5,57.4,61.3,69.7,65.8,56.8,48.7,41.4
27,Barajas Pueblo,61.2,60.4,56.4,59.9,70.3,64,52.4,41.6,34.5
28,Cuatro Vientos,66.9,65.7,59.7,65.3,73.9,69.5,59.6,41.4,35.1
29,El Pardo,57.4,56.4,49,55.7,65,58.5,50.9,37.3,34.5
30,Campo de las Naciones,59.9,59,54.4,58.5,66.2,61.9,55.7,41.6,36.5
31,Sanchinarro,62.7,63.4,52.6,61.3,71.4,66.3,53,43,38.1
47,Mendez alvaro,55,57.6,49.7,54.5,65.6,55.6,49.7,41.4,37.3
48,Castellana,62.2,61.8,57.9,61.1,68,63.8,59.8,52.5,44.8
50,Pza de Castilla,66.2,66,60.9,64.9,71.9,66.4,62.1,54.5,47.5
54,Ensanche de Vallecas,60.7,60.9,56.3,59.7,66.4,62.6,58.2,53.4,51.2
55,Urbanizacion Embajada II,55.6,55.3,50.6,54.4,62.5,57.1,50.1,43.7,40.3
86,Tres Olivos,58.8,57.8,56.8,58,66.5,60.7,51.8,39.7,36.1
