NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,68.4,68.5,65.8,67.7,74.6,71.4,64.9,56.8,49.8
2,Carlos V,69.6,69.5,66.5,68.8,75.3,71,67.6,61,54.6
3,Plaza del Carmen,61.7,61.5,58.8,60.8,69.4,63.6,58,51.7,46.2
4,Plaza de Espana,66,65.6,61.5,64.8,72.4,67.4,63.4,56.1,48.6
5,Barrio del Pilar,63.1,62.9,56.2,61.7,68.9,65.5,59,46.6,39.1
6,Gregorio Maranon,71.3,70.9,66.8,70.2,77.2,73.8,67,59.4,51.8
8,Escuelas Aguirre,68.3,67.6,64.1,67.2,73.8,70.3,65.6,57.8,49.4
10,Cuatro Caminos,66.2,65.4,59.9,64.8,73.1,68.5,60.6,50.7,44.5
11,Ramon y Cajal,69,68.5,62.4,67.6,74,70.9,65.7,50.7,38.6
12,Plaza Manuel Becerra,65,64.6,59.2,63.7,70.3,65.2,61.1,53.5,46.4
13,Vallecas,58.8,57.9,52.3,57.3,66,60.3,53,42.3,39.6
14,Glorieta Fdez. Ladreda,65.9,65.6,61.3,64.8,71,67.5,62.8,55.1,47.4
16,Arturo Soria,62.5,62.3,56.8,61.2,67.9,64.7,58.9,43,37
17,Villaverde,57.5,58,53.9,56.7,65.3,59,52.8,42.1,38.5
18,Farolillo,66.7,59.8,50.1,64.1,68.4,59.5,51.6,40,35.1
19,Alto Extremadura,62,61.7,56.8,60.8,68.9,63.8,57.5,46.6,37.4
20,Avda de Moratalaz,63.3,62.7,55.9,61.8,70.7,64.2,57.9,45.3,38.6
24,Casa de Campo,50.2,47.2,41.9,48.2,57.1,51.5,44,38.3,36.2
25,Santa Eugenia,66.4,66.2,61.9,65.3,71,67.9,64.8,57.1,48.5
26,Embajada,65.2,62.6,58.7,63.5,71.1,67.2,57.5,49.4,41.6
27,Barajas Pueblo,62.8,63.8,57,61.8,72.3,65.7,53.4,42.2,35.5
28,Cuatro Vientos,68.2,66.7,60.3,66.5,74.9,70.9,60.6,41.6,36
29,El Pardo,57.5,55.4,49.7,55.7,64.9,59.6,50.1,36.1,33.7
30,Campo de las Naciones,61.5,59.9,53.4,59.8,67.4,63.4,57.1,43.2,38.2
31,Sanchinarro,63.6,64.1,54,62.2,72.5,67,54.4,43.4,38.8
47,Mendez alvaro,55.2,57.5,48.6,54.5,65.4,55.3,48.6,39.5,35.9
48,Castellana,63.2,62.8,59.2,62.2,68.5,65.4,60.8,53.4,45
50,Pza de Castilla,66.3,65.9,61.9,65.2,71.6,67.1,63.1,55.4,48
54,Ensanche de Vallecas,61.3,61.5,55.4,60.1,67.4,63.5,58.2,50.4,48.1
55,Urbanizacion Embajada II,56.1,54.8,50.7,54.7,63,57.9,50.6,44.1,42
86,Tres Olivos,59.3,58.3,50.7,57.7,67.4,61.5,51.8,39.8,37.3
