NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,67.8,66.7,63.8,66.6,74.4,70.1,63.6,55.6,49.2
2,Carlos V,68.7,68.6,65.2,67.8,74.4,70.1,66.2,59.6,53.2
3,Plaza del Carmen,61.3,60.8,59.1,60.6,69.2,62.9,57.8,53.7,51
4,Plaza de Espana,64.3,64.6,60.7,63.4,70.9,65.8,62.2,55.4,49.7
5,Barrio del Pilar,61.2,62.5,55.8,60.3,67.4,63.5,57.6,46.6,40.4
6,Gregorio Maranon,68.7,68.2,64.5,67.6,74.8,71.1,64.7,56.9,49.9
8,Escuelas Aguirre,66.6,66.7,63.5,65.8,72.9,68.8,64,56.8,49
10,Cuatro Caminos,63.7,63.4,59.1,62.5,71.1,65.7,57.6,48.9,45.2
11,Ramon y Cajal,66.4,65.8,60.1,65,71.9,68.6,61.7,48.3,39.3
12,Plaza Manuel Becerra,64.1,64.1,59.2,63,69.3,64.2,59.8,52.7,46.8
13,Vallecas,57.3,57.9,53,56.4,64.8,58.8,52.1,43.2,37.6
14,Glorieta Fdez. Ladreda,64.5,64.7,60.9,63.7,69.9,66,61.5,55.5,50.1
16,Arturo Soria,59.7,59,54.3,58.4,65.9,62.1,55.5,41.5,36.4
17,Villaverde,56,61.4,55.8,57.4,68.2,60,51.7,42.8,39.9
18,Farolillo,56.9,59.7,50.5,56.4,66.9,58.8,50.6,42.3,39.3
19,Alto Extremadura,62.1,62.4,57.8,61.2,70.8,64.4,56.1,46.2,37.4
20,Avda de Moratalaz,60.8,60.7,54.9,59.5,68.7,61.9,55,44,38.4
24,Casa de Campo,49,51.2,45,48.6,56.9,51,45,39.3,35.5
25,Santa Eugenia,64.4,60.2,60.2,63.4,68.7,65.9,62.9,56.3,48.5
26,Embajada,61.3,64.1,56.8,60,69,64.6,55.2,48.9,41.6
27,Barajas Pueblo,59.8,59.5,55.5,58.7,69.5,62.3,50.2,43.2,36
28,Cuatro Vientos,65.5,65,59.3,64.1,73.4,68,57.7,42.4,39.2
29,El Pardo,55.4,54.4,53.5,54.7,62.8,56.7,49.2,39.1,35
30,Campo de las Naciones,58.4,57.2,52.1,56.9,65.2,60.1,53.5,42.1,36.8
31,Sanchinarro,60.9,61.9,51.8,59.7,70.5,64.3,50.6,42.6,37.5
47,Mendez alvaro,54.9,56.8,48.6,54.2,64.7,53.9,47.2,41.4,37
48,Castellana,61,60.2,57,59.9,66.5,62.6,58.6,52,46.5
50,Pza de Castilla,64.9,64.4,60.1,63.7,70.2,65.5,61,53.5,47.5
54,Ensanche de Vallecas,58.3,59,53.1,57.3,65.4,60.6,54.9,46.1,42.8
55,Urbanizacion Embajada II,54.9,53.1,49.2,53.3,61.7,55.6,48.6,43.4,38.6
86,Tres Olivos,56.7,56.9,51.5,55.6,65.7,58.3,48.5,39.7,36.3
