NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,68.7,68.4,65.3,67.8,74.4,71.1,65.2,56.3,49
2,Carlos V,70.1,69.6,66.1,69.1,75.7,71,67.4,60.6,53.2
3,Plaza del Carmen,62.2,61,59.7,61.4,71,63.7,57.8,52.1,47
4,Plaza de Espana,65.4,65.5,61.6,64.5,72.2,66.9,63,55.8,48.3
5,Barrio del Pilar,63,63,55.4,61.6,69,65.2,58.8,45.8,39
6,Gregorio Maranon,70.7,70.3,66.1,69.6,76.8,73,66.4,58.8,50.6
8,Escuelas Aguirre,68.4,67.9,64,67.3,74,70.5,65.4,57.3,47
10,Cuatro Caminos,65.7,65.2,59.1,64.3,72.9,67.9,60,48.5,45.2
11,Ramon y Cajal,69.4,68.8,62.6,67.9,74.5,71.4,66,51.1,38.3
12,Plaza Manuel Becerra,65.2,65.6,59.5,64.1,70.4,65.3,61.1,53.1,46.3
13,Vallecas,67.1,58.8,51,64.4,70.8,60.4,53.1,40.1,35.6
14,Glorieta Fdez. Ladreda,66,65.5,60.5,64.7,71.3,67.3,62.6,54.6,47.2
16,Arturo Soria,61.9,61.2,55.8,60.5,67.6,64.2,58.3,41.6,35.5
17,Villaverde,58.7,61.2,51.9,58.1,67.3,60.6,53.6,40.5,37.3
18,Farolillo,58.3,59.6,49.7,57.2,67.2,59.5,52,41.2,36.2
19,Alto Extremadura,62.2,61.4,57.4,61,69.6,63.9,57.3,46.3,36.5
20,Avda de Moratalaz,62.9,62.6,55.9,61.5,70.8,64.2,57.6,43.8,35.7
24,Casa de Campo,51.3,49.5,41.3,49.4,58.9,52.5,44.7,37.6,35.5
25,Santa Eugenia,66.3,65.9,60.8,65,68.9,66.5,62.4,54.2,45.5
26,Embajada,63.2,62.1,57.8,61.8,70.3,66.4,57.3,48.3,40.8
27,Barajas Pueblo,62,63.1,56.2,61,71.5,64.6,51.6,40.1,33.4
28,Cuatro Vientos,66.6,65.4,58.9,65,74.1,69.5,58.3,39.8,32.9
29,El Pardo,57.1,54.9,48.6,55.2,64.2,58.3,50,36.5,34.4
30,Campo de las Naciones,61,60,55.4,59.6,67.2,63,56.8,42,36.8
31,Sanchinarro,63.4,63.9,52.6,62,72.3,66.9,53,41.8,36.4
47,Mendez alvaro,55.5,59.3,48.7,55.4,66.3,55.6,48.9,39.6,36.6
48,Castellana,62.7,62.3,58.2,61.6,67.9,64.6,60.5,52.2,43.4
50,Pza de Castilla,66.4,66.3,60.7,65.2,72.2,67,62.5,53.7,46.1
54,Ensanche de Vallecas,62.9,61.5,56.8,61.4,72.5,63.6,58.8,54.3,52.5
55,Urbanizacion Embajada II,55.7,54.8,50.1,54.3,62.8,57.4,49.7,42.7,40.2
86,Tres Olivos,58.8,58.1,50,57.2,66.6,61,51.7,39.3,36.1
