NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,67.5,67.5,64.6,66.7,73.2,70,64.5,56.2,49.4
2,Carlos V,69.7,69.6,66.4,68.9,75.8,70.9,67.5,60.8,54.3
3,Plaza del Carmen,61.9,61.3,59.5,61.1,69.4,63.7,58.6,53.3,48.9
4,Plaza de Espana,68.1,68.8,64.2,67.4,78.9,67.6,63.3,56,48.6
5,Barrio del Pilar,62.9,63.8,55.7,61.8,68.9,65.1,59,47.2,40.1
6,Gregorio Maranon,70.8,70.1,66,69.5,76.8,72.8,66.4,59.2,52
8,Escuelas Aguirre,67.8,68.3,65.6,67.2,74.2,70,65.3,58.2,50.7
10,Cuatro Caminos,65.7,65.3,58.8,64.3,72.6,67.8,60.2,48.8,43.3
11,Ramon y Cajal,68.7,68.1,61.7,67.2,73.7,70.3,65.6,51.4,41.3
12,Plaza Manuel Becerra,65.3,65.6,59.2,64.1,71.3,65.3,61.2,53.4,47.5
13,Vallecas,59.6,58.6,52.6,58.1,66.4,60.1,53.6,42.8,38.1
14,Glorieta Fdez. Ladreda,65.9,65.5,60.8,64.6,71.5,66.9,62.2,54.8,47.7
16,Arturo Soria,61.1,60.3,55.3,59.7,66.6,63.3,57.6,42.3,37.2
17,Villaverde,57,61.9,54.3,57.8,67.4,60.7,53.2,41.6,35
18,Farolillo,56.7,59.3,49.7,56.1,65.9,58.5,51.3,41.7,35.6
19,Alto Extremadura,61.1,61,56.1,60,68.9,62.8,56.3,46,37.5
20,Avda de Moratalaz,62.2,62.6,55.1,61,70.1,63.6,57.4,44.7,37
24,Casa de Campo,48.9,48.5,41.4,47.5,57.2,50.4,43.6,38.7,35.7
25,Santa Eugenia,65.8,65.4,61.2,64.6,69.6,66.9,64.2,57.1,49.3
26,Embajada,62.9,61.6,57.9,61.5,69.8,65.9,57,49.6,42.3
27,Barajas Pueblo,61.7,60.7,56.1,60.3,70.7,64.5,52.8,43,35.4
28,Cuatro Vientos,66.9,65.7,59.7,65.2,73.6,69.6,60.1,41.8,35.2
29,El Pardo,57.2,57,58.1,57.5,66.3,59.9,51.8,38.3,34.5
30,Campo de las Naciones,60.9,59.7,52.9,59.2,66.7,62.4,57.1,43.7,39.2
31,Sanchinarro,62.7,62.7,52.6,61.1,71.1,66,52.7,43.1,38.3
47,Mendez alvaro,55,58.9,49,55,66.5,54.7,48.2,40.5,36.3
48,Castellana,62.5,61.7,57.7,61.2,67.2,64,59.6,52.9,45.7
50,Pza de Castilla,66.5,65.7,61.3,65.2,71.5,66.7,62.7,55.1,48.5
54,Ensanche de Vallecas,59.7,60.3,57.5,59.2,66,61.9,56.5,43.6,36.8
55,Urbanizacion Embajada II,55.1,54.1,52.9,54.3,62,56.9,50.2,44.7,39.5
86,Tres Olivos,58.8,58,49.8,57.1,66.6,60.6,51.2,39.5,36.2
