NMT,Nombre,Ld,Le,Ln,LAeq24,LAS01,LAS10,LAS50,LAS90,LAS99
1,Paseo de Recoletos,68.6,68.2,65.7,67.8,74.3,70.9,65.6,57.5,50
2,Carlos V,70.2,69.9,66.7,69.3,75.9,71.4,68,61.4,54.6
3,Plaza del Carmen,62,61.5,59.5,61.2,69.6,63.9,58.7,53.1,49.3
4,Plaza de Espana,65.9,66.3,61.8,65,72.2,67.4,63.8,56.7,48.9
5,Barrio del Pilar,63.7,67.8,65.6,65.3,77.8,66.6,60.3,47.3,39.5
6,Gregorio Maranon,71.6,70.9,66.9,70.3,75.9,72.7,66.4,59.8,52.4
8,Escuelas Aguirre,68.4,68.8,66.5,67.6,75.4,70.5,65.7,58.3,48.9
10,Cuatro Caminos,66.3,65.6,60.3,64.9,73.3,68.6,61,50.2,46.2
11,Ramon y Cajal,69.2,68.3,62.5,67.7,74,70.8,66.1,52.1,40.2
12,Plaza Manuel Becerra,65.4,65.6,59.7,64.2,70.5,65.5,61.5,54.3,48
13,Vallecas,59.2,58.7,52.2,57.7,66.6,60.6,53.4,41.5,36.1
14,Glorieta Fdez. Ladreda,65.9,65.6,60.9,64.7,71,67.3,62.9,55.4,48.1
16,Arturo Soria,62.7,61.4,56.7,61.2,67.6,64.6,58.8,43.2,35.7
17,Villaverde,58.5,59.6,52.1,57.5,66.2,59.7,53.1,41.6,38
18,Farolillo,57.2,59.9,49.2,56.6,66.5,59,50.9,41.6,37.4
19,Alto Extremadura,61.9,61.5,56.1,60.6,69.2,63.8,57.2,46.4,37
20,Avda de Moratalaz,63,62.6,55.4,61.5,70.8,64.3,58.1,44.7,38.2
24,Casa de Campo,49.8,47.8,41.7,48,56.3,50.6,44.5,39,35.6
25,Santa Eugenia,66.6,66.2,61.5,65.4,70.3,67.9,65.1,57.2,48.3
26,Embajada,63.8,62.4,58.2,62.3,70.7,66.9,57.8,49.4,42
27,Barajas Pueblo,61.9,60.8,56.2,60.4,71,64.7,51.7,41,34.1
28,Cuatro Vientos,67.8,66.7,60.6,66.2,74.6,70.6,60.6,43.6,40.6
29,El Pardo,58.6,56,50,56.6,65.5,60,51.1,37.7,35.2
30,Campo de las Naciones,62,59.8,53.3,60,67.1,63.3,57.4,42.9,37.9
31,Sanchinarro,63.9,63.4,53.3,62.2,72.3,67.1,54.4,42.4,37.5
47,Mendez alvaro,55.5,58,49.4,55,66.1,55.7,48,40,36.1
48,Castellana,63.2,62.7,58.6,62,68.5,65,60.6,53.5,45.3
50,Pza de Castilla,67.4,66.3,61.8,66,72.6,67.6,63.5,55.5,47.5
54,Ensanche de Vallecas,60.8,61,54.2,59.5,66.8,63,57.9,46,43.6
55,Urbanizacion Embajada II,55.5,54.5,49.7,54.1,62.7,57.3,49.4,42.3,37.7
86,Tres Olivos,59.7,58.3,50.2,57.9,67.3,61.5,51.9,38.2,35.6
